#,*EventCODE,*EventType,*Action ( Reboot + 3+ shutdown) or Error/Warning/Info/Busy/Idle/Stop,"Response to negative options selected by the user - Cancel, No etc","*SourceComponent , mandatory if Ack is true",Yes/No,High/Medium/Low/None,True/False,EnglishString,Ok-Yes+No-Continue+Stop-Ok+Cancel,Yes/No,EventInfo
#EventId,EventMacro,EventType,ActionTypePositive,ActionTypeNegative,Source,AlarmTone,*LogLevel,UserLog,EventString,GUIEvent,StatusBarIcon,EventInfo
17235987,EVENT_DM_INITIALIZATION_ERROR,Info,,,,,Low,FALSE,'%1' Initialization Error,Ok,,
17235988,EVENT_DM_FILE_OPEN_FAILED,Info,,,,,Low,FALSE,'%1' file open operation failed,Ok,,
17235989,EVENT_DM_FILE_WRITE_FAILED,Info,,,,,Low,FALSE,'%1' file write operation failed,Ok,,
17235990,EVENT_DM_STREAMIN_FAILED,Info,,,,,Low,FALSE,'%1' Stream In Operation failed,Ok,,
17235991,EVENT_DM_STREAMOUT_FAILED,Info,,,,,Low,FALSE,'%1' Stream Out Operation failed,Ok,,
17235992,EVENT_DM_XML_FILE_NOT_EXISTS,Info,,,,,Low,FALSE,'%1' XML file not exists,Ok,,
17235993,EVENT_DM_XML_SERIALIZE_FAILED,Info,,,,,Low,FALSE,'%1' XML Serialization failed,Ok,,
17235994,EVENT_DM_XML_DESERIALIZE_FAILED,Info,,,,,Low,FALSE,'%1' XML De Serialization failed,Ok,,
17235995,EVENT_DM_GV_FAILED,Error,,,,,Low,FALSE,Group verification is failed,,,
17301505,EVENT_DEVICECOMMANDPROCESSOR_INFO_COMMAND_STARTED,Info,,,,,Low,FALSE,,,,
17301506,EVENT_DEVICECOMMANDPROCESSOR_INFO_COMMAND_FINISHED,Info,,,,,Low,FALSE,,,,
17301507,EVENT_DEVICECOMMANDPROCESSOR_ERROR_COMMAND_FAILED,Error,,,,,Low,FALSE,,,,
17301508,EVENT_DEVICECOMMANDPROCESSOR_ERROR_DEVCTRLLAYER,Error,,,,,Low,FALSE,,,,
17301761,EVENT_DEVICECOMMANDPROCESSOR_STRING_INITIALIZATION,Info,,,,,Low,FALSE,,,,
17301762,EVENT_DEVICECOMMANDPROCESSOR_STRING_CONFIGURATION,Info,,,,,Low,FALSE,,,,
17301763,EVENT_DEVICECOMMANDPROCESSOR_STRING_CLEANUP,Info,,,,,Low,FALSE,,,,
17301764,EVENT_DEVICECOMMANDPROCESSOR_STRING_GRAPPLER_REFRUN,Info,,,,,Low,FALSE,,,,
17302017,EVENT_DEVICECOMMANDPROCESSOR_STRING_GRAPPLER_UNKNOWN,Info,,,,,Low,FALSE,,,,
17302018,EVENT_DEVICECOMMANDPROCESSOR_STRING_GRAPPLER_1,Info,,,,,Low,FALSE,,,,
17302019,EVENT_DEVICECOMMANDPROCESSOR_STRING_GRAPPLER_2,Info,,,,,Low,FALSE,,,,
17367041,EVENT_STATEMACHINES_ERROR_TRANSITION_EXISTS,Error,,,,,Low,FALSE,,,,
17367042,EVENT_STATEMACHINES_ERROR_ADD_TRANSITION_FAILED,Error,,,,,Low,FALSE,,,,
17367043,EVENT_STATEMACHINES_ERROR_REMOVE_TRANSITION_FAILED,Error,,,,,Low,FALSE,,,,
17367044,EVENT_STATEMACHINES_ERROR_REMOVE_ALL_TRANSITIONS_FAILED,Error,,,,,Low,FALSE,,,,
17367045,EVENT_STATEMACHINES_ERROR_ADD_STATE_FAILED,Error,,,,,Low,FALSE,,,,
17367046,EVENT_STATEMACHINES_ERROR_REMOVE_STATE_FAILED,Error,,,,,Low,FALSE,,,,
17367047,EVENT_STATEMACHINES_ERROR_REMOVE_CURRENT_STATE,Error,,,,,Low,FALSE,,,,
17367048,EVENT_STATEMACHINES_ERROR_UNKNOWN_STATE,Error,,,,,Low,FALSE,,,,
17498113,EVENT_EXTERNALPROCESSCONTROL_ERROR_LOADING_SETTINGS,Error,,,,,Low,FALSE,,,,
17498114,EVENT_EXTERNALPROCESSCONTROL_ERROR_INITIALIZE_EXTERNAL_PROCESS_DEVICE,Error,,,,,Low,FALSE,,,,
17498115,EVENT_EXTERNALPROCESSCONTROL_ERROR_INITIALIZE_SIMPLE_STATE_MACHINE,Error,,,,,Low,FALSE,,,,
17498116,EVENT_EXTERNALPROCESSCONTROL_ERROR_INITIALIZE_FULL_STATE_MACHINE,Error,,,,,Low,FALSE,,,,
17498117,EVENT_EXTERNALPROCESSCONTROL_ERROR_INITIALIZE_PROCESS_MANAGER,Error,,,,,Low,FALSE,,,,
17498118,EVENT_EXTERNALPROCESSCONTROL_ERROR_CREATOR_FUNCTOR_ALREADY_REGISTERED,Error,,,,,Low,FALSE,,,,
17498119,EVENT_EXTERNALPROCESSCONTROL_ERROR_NO_CREATOR_FUNCTOR_REGISTERED,Error,,,,,Low,FALSE,,,,
17498120,EVENT_EXTERNALPROCESSCONTROL_ERROR_REFERENCE_ALREADY_REGISTERED,Error,,,,,Low,FALSE,,,,
17498121,EVENT_EXTERNALPROCESSCONTROL_ERROR_UNKNOWN_REFERENCE,Error,,,,,Low,FALSE,,,,
17825793,EVENT_EXPORT_DIRECTORY_CREATION_FAILED,Error,,,Export,No,Medium,FALSE,Export failed. Directory creation failed,,,
17825794,EVENT_EXPORT_FILES_NOT_COPIED,Error,,,Export,No,Medium,FALSE,Export failed. File copying failed,,,
17825795,EVENT_EXPORT_UNABLE_TO_CREATE_FILE_RMS_STATUS,Error,,,Export,No,Medium,FALSE,Export failed. Unable to create the RMS_Status.csv file,,,
17825796,EVENT_EXPORT_UNABLE_TO_CREATE_FILE_TEMP_EXPORTCONFIGURATION,Error,,,Export,No,Medium,FALSE,Export failed. Unable to create the TempConfiguration.xml file,,,
